id,display_name,owner,family,lineage,vendor_baseline,counts_as,renamed_from,renamed_to,renamed_on,event_count
openai,OpenAI,OpenAI,,,true,,,,,23
openai-api,OpenAI API,OpenAI,,,true,,,,,13
chatgpt,ChatGPT,OpenAI,,,true,,,,,4
anthropic-claude,Claude,Anthropic,,,true,,,,,22
google-gemini,Gemini,Google,,,true,,,,,2
google-gemini-api,Gemini API,Google,,,true,,,,,4
mistral,Mistral,Mistral AI,,,true,,,,,1
xai-grok,Grok,xAI,,,true,,,,,3
deepseek,DeepSeek,DeepSeek,,,true,,,,,6
meta,Meta,Meta,,,true,,,,,1
moonshot,Moonshot AI,Moonshot AI,,,true,,,,,2
microsoft-ai,Microsoft AI,Microsoft,,,true,,,,,4
m365-copilot,Microsoft 365 Copilot,Microsoft,Microsoft 365,,false,microsoft | copilot | m365,,,,28
m365-admin,Microsoft 365 admin centre,Microsoft,Microsoft 365,,false,microsoft,,,,3
copilot-studio,Microsoft Copilot Studio,Microsoft,Copilot Studio,,false,microsoft | copilot | studio,power-virtual-agents,,,22
power-virtual-agents,Power Virtual Agents,Microsoft,Copilot Studio,,false,microsoft | copilot | studio,,copilot-studio,2023-11-15,1
github-copilot,GitHub Copilot,GitHub,GitHub Copilot,,false,microsoft | copilot | github_copilot,,,,53
github-models,GitHub Models,GitHub,GitHub Models,,false,microsoft,,,,10
azure-openai,Azure OpenAI Service,Microsoft,Microsoft Foundry,foundry,false,microsoft | foundry,,azure-ai-foundry,,15
azure-ai-catalog,Azure AI model catalogue,Microsoft,Microsoft Foundry,foundry,false,microsoft | foundry,,azure-ai-foundry,,1
azure-ai-studio,Azure AI Studio,Microsoft,Microsoft Foundry,foundry,false,microsoft | foundry,,azure-ai-foundry,2024-11-19,1
azure-ai-foundry,Azure AI Foundry,Microsoft,Microsoft Foundry,foundry,false,microsoft | foundry,azure-ai-studio,microsoft-foundry,,7
microsoft-foundry,Microsoft Foundry,Microsoft,Microsoft Foundry,foundry,false,microsoft | foundry,azure-ai-foundry,,,29
microsoft-corporate,Microsoft,Microsoft,,,false,,,,,1
